Name,2NDTAG,3RDTAG,Agency,Agent notes for human,Area1,Area2,Artifacts,Contact person,Description,Email,Events,Funding Opportunities,Human notes for agent,LinkedIn,Memes,NewsletterScraper (CA),Ontology,Ontology Tags,Phone number,Projects & Areas,Public Email,SAP,Website,related programs and initiatives
Red de Territorios Regenerativos,"CATBIS, wanna collaborate with",,network/ecosystem,"Ontology relation filled for ecosystem regeneration, network weaving, participatory strategy, habitat connectivity, watershed/landscape repair and portfolio development. Source check remains for Catalunya-specific relevance.","Ops in Europe, Ops in Spain",regional,,,"Iberian network of regenerative territories connecting people, landscapes, and organizations across Spain and Portugal to accelerate social, environmental, and economic landscape regeneration.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,"Ecosystem Regeneration (https://app.notion.com/p/Ecosystem-Regeneration-3331441510e1816d83f1e6eb4734ef50?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Habitat_Connectivity (https://app.notion.com/p/Habitat_Connectivity-3331441510e18102979cd784e7b26d42?pvs=21), Watershed_Repair (https://app.notion.com/p/Watershed_Repair-3331441510e181d798ede5c0958fe944?pvs=21), Portfolio_Development (https://app.notion.com/p/Portfolio_Development-3331441510e181df8e8ff4170407af7e?pvs=21)",regenerative territories; landscape restoration; Iberian bioregion; rural regeneration; ecosystem regeneration; social-ecological transition; Spain; Portugal,,,,"Iberian bioregional regeneration network working to make the Iberian Peninsula a reference for landscape restoration and social-ecological regeneration. Relevant to CATBIS as a wider Iberian field-building network for regenerative territories, landscape restoration, rural economies, ecosystem regeneration, and cross-territorial learning that may include or inform Catalan initiatives.",https://redterritoriosregenerativos.com/,
Seabots,,,org,,,,,,,,,,,,,,,,,,,,https://www.seabots.eu/,
Regenesis Institute for Regenerative Practice,"CATBIS, wanna collaborate with",,org,Added CATBIS while preserving existing wanna-collaborate tag. Possible duplicate with Regenesis Institute row; consolidate later if safe.,international,regional,,,"Regenesis Institute for Regenerative Practice offers education and support for practitioners working with living-systems thinking, place-based regenerative development, and transformational systems change.",,,,,https://www.linkedin.com/school/regenesis-institute-for-regenerative-practice/,"Bioregionalism, Regeneration",,"Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Storying_Place (https://app.notion.com/p/Storying_Place-3331441510e18182bf1cd178a1b9ecc1?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Peer_Learning (https://app.notion.com/p/Peer_Learning-3331441510e1811fa2ebc276ab53a2f6?pvs=21), Governance_Design (https://app.notion.com/p/Governance_Design-3331441510e1813bb87bd224403e0a56?pvs=21)",regenerative practice; living systems; storying place; practitioner training; regenerative development,,,,"Regenerative-practice education institute and field reference for living systems, storying place, regenerative development, and practitioner training. Relevant to CATBIS as a learning and methodology node for regenerative systems change, while the exact Catalunya-specific relevance should be confirmed.",https://www.regenerat.es/,
Bioregional Weaving Labs Collective / Ashoka,"CATBIS, currently collaborating with",,"network/ecosystem, org",Added CATBIS: strong bioregional regeneration and European field-building relevance. Existing collaboration tag preserved; no new collaboration status inferred.,international,regional,,,"Pan-European collective of 25+ system-changing organisations, funders, and impact investors initiated by Ashoka Netherlands and co-led by Commonland and OpEPA, with partners including the Presencing Institute and The Weaving Lab. Its mission is to mobilise 1 million changemakers to restore, protect, and regenerate 1 million hectares of land and sea in Europe by 2030. The core instrument is the Bioregional Weaving Lab (BWL) — a geographically grounded, multi-stakeholder partnership process that weaves together local innovators, farmers, policymakers, NGOs, and citizens around a shared vision for their territory. The process draws on Theory-U and the 4 Returns framework (natural, social, financial, and inspirational), helping communities map root causes, align on a holistic landscape plan, and connect with funders and investors at bioregional scale. To date, 8 BWLs have been established across Europe (Ireland, the Netherlands, and others), with a target of 10. The Collective represents hundreds of system changers working directly in bioregions on nature-based solutions, ecosystem restoration, and biodiversity.",,,,,https://www.linkedin.com/company/bioregional-weaving-labs-collective,"Bioregionalism, Regeneration",Registered,"Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Portfolio_Development (https://app.notion.com/p/Portfolio_Development-3331441510e181df8e8ff4170407af7e?pvs=21), 4_Returns (https://app.notion.com/p/4_Returns-3331441510e1817a9381d248d51cb32d?pvs=21), Peer_Learning (https://app.notion.com/p/Peer_Learning-3331441510e1811fa2ebc276ab53a2f6?pvs=21), Political_Advocacy (https://app.notion.com/p/Political_Advocacy-3331441510e1812880fdd8d661966799?pvs=21)",bioregional weaving labs; 4 Returns; landscape restoration; network weaving; bioregional regeneration; participatory planning; Europe,,,,"International, pan-European scope. Bioregionalism, regeneration. Network weaving across system changers, practitioners, funders, and public bodies; participatory planning and visioning processes at bioregional scale; portfolio development using the 4 Returns framework; peer learning through summits and a community of practice; political advocacy for nature restoration at EU level. Key reference node for the bioregional field in Europe and a central framework reference for this knowledge base.",https://www.ashoka.org/en-nl/program/bioregional-weaving-labs-collective,
Resilience.Earth,"CATBIS, wanna collaborate with",,org,"Ontology relation filled for governance design, participatory strategy, network weaving, learning programs, storying place and systems/resource mapping.","Ops in Catalunya, catalan",regional,,,"Catalan non-profit cooperative strategic consultancy supporting organizations, institutions, and communities through regenerative, resilience-oriented, and bioregional approaches to activate territorial transformation.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,"Governance_Design (https://app.notion.com/p/Governance_Design-3331441510e1813bb87bd224403e0a56?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Storying_Place (https://app.notion.com/p/Storying_Place-3331441510e18182bf1cd178a1b9ecc1?pvs=21), Systems_and_Resource_Mapping (https://app.notion.com/p/Systems_and_Resource_Mapping-3331441510e1817db512f22616e77166?pvs=21)",regenerative development; resilience; bioregionalization; community facilitation; territorial transformation; cooperative; Garrotxa; Catalunya,,,info@resilience.earth,"Garrotxa/Catalunya-based cooperative working on regeneration, resilience, bioregionalization, community processes, and strategic support for territorial transformation. Relevant to CATBIS as a core Catalan regenerative-development actor with strong capacity in facilitation, governance, community resilience, bioregional thinking, and public/community ecosystem work.",https://resilience.earth/,
Catalan Bioeconomy Ecosystem,CATBIS,,network/ecosystem,"Ontology relation filled for bioeconomy theme, materials/value chains, ecosystem network weaving and hub/container role. Keep human review because this is an ecosystem placeholder rather than a single external actor.","Ops in Catalunya, catalan",regional,,,"Internal ecosystem placeholder for the Catalan bioeconomy ecosystem: actors, programs, research centres, companies, cooperatives, and public bodies working around bio-based value chains and territorial bioeconomy in Catalunya.",,,,,,"Bioeconomy, Eco Social Transition, Regeneration",,"Agro-Bioeconomy (https://app.notion.com/p/Agro-Bioeconomy-3331441510e18101a15cf3113a0d0ee2?pvs=21), Materials_Transformation (https://app.notion.com/p/Materials_Transformation-3331441510e181788e3ad7ffb8a2be05?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21)",bioeconomy; Catalan ecosystem; circular bioeconomy; agri-food; forestry; biomass; regenerative production,,,,"Useful CATBIS ecosystem-level container for mapping the Catalan bioeconomy field. Should help group actors working on circular bio-based materials, agri-food systems, forestry, biomass, blue bioeconomy, rural development, and regenerative productive landscapes.",,
Cerulean Ventures,CATBIS,,"funder, org","Added CATBIS with confirmation flag: strong climate/nature-positive finance relevance, but Catalunya-specific link is unclear.",international,regional,,,"Pre-seed / seed venture capital firm backing founders using AI, computation, and software to build nature-positive and climate-impact infrastructure across sectors such as food, energy, biodiversity, and supply chains.",,,,,,"Bioeconomy, Impact Investing, Regeneration",,"Investment_Vehicles (https://app.notion.com/p/Investment_Vehicles-3331441510e1819da547e4c9865b3be1?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21), Portfolio_Development (https://app.notion.com/p/Portfolio_Development-3331441510e181df8e8ff4170407af7e?pvs=21), Habitat_Connectivity (https://app.notion.com/p/Habitat_Connectivity-3331441510e18102979cd784e7b26d42?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21)",climate tech; venture capital; nature-positive economy; biodiversity; AI,,,,"Pre-seed/seed venture capital firm backing AI/software infrastructure for nature-positive and climate-impact sectors including food, energy, biodiversity, and supply chains. Relevant to CATBIS as a reference funder for climate/nature-positive venture cultivation and regenerative finance, though Catalunya-specific relevance is not clear.",https://cerulean.vc/,
ria — Regenerative Investing Academy,"CATBIS, wanna collaborate with",,"network/ecosystem, org","Ontology relation filled for regenerative investing learning programs, investment vehicles, portfolio development, structuring/capitalization, venture cultivation and peer learning. CATBIS relevance still needs confirmation.","Ops in Europe, international",regional,,,"Regenerative Investing Academy is an educational initiative connected to Atreyu that develops learning journeys, field resources, and practices for regenerative investing and living-systems-aligned capital.",,,,,https://www.linkedin.com/company/regenerative-investing-academy,"Impact Investing, Regeneration",,"Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Investment_Vehicles (https://app.notion.com/p/Investment_Vehicles-3331441510e1819da547e4c9865b3be1?pvs=21), Portfolio_Development (https://app.notion.com/p/Portfolio_Development-3331441510e181df8e8ff4170407af7e?pvs=21), Structuring_and_Capitalization (https://app.notion.com/p/Structuring_and_Capitalization-3331441510e181ca9fbeeaf2171d3045?pvs=21), Venture_Cultivation (https://app.notion.com/p/Venture_Cultivation-3331441510e1810a9b93cfddfa945786?pvs=21), Peer_Learning (https://app.notion.com/p/Peer_Learning-3331441510e1811fa2ebc276ab53a2f6?pvs=21)",regenerative investing; impact investing; living systems; regenerative finance; investor education; Atreyu; Barcelona; learning journeys,,,,"Barcelona-connected regenerative investing education initiative building capacity, language, and practice for investors and investees to align capital with living systems, place, potential, participation, and regeneration. Relevant to CATBIS as financial-learning infrastructure for regenerative finance and impact investing, though its Catalunya-specific ecosystem role should be confirmed.",https://www.regenerativeinvesting.academy/,
Coòpolis,,,,,,,,,,,,,,,,,,,,,,,https://www.bcn.coop/,
Catalan Cooperative Ecosystem,CATBIS,,network/ecosystem,"Ontology relation filled for cooperative ecosystem infrastructure, commons governance, governance bodies, network weaving and participatory planning. Keep human review because this is an ecosystem placeholder.","Ops in Catalunya, catalan",regional,,,"Internal ecosystem placeholder for the Catalan cooperative ecosystem: federations, cooperative hubs, social and solidarity economy actors, and cooperative infrastructure across Catalunya.",,,,,,Eco Social Transition,,"Collective_Ownership_Models (https://app.notion.com/p/Collective_Ownership_Models-3331441510e1811db7b2e4505cc30563?pvs=21), Commons_Governance_Protocols (https://app.notion.com/p/Commons_Governance_Protocols-3331441510e181019702eb428e0a8448?pvs=21), Governance_Bodies (https://app.notion.com/p/Governance_Bodies-3331441510e181688959d5e2a5457fc6?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21)",cooperativism; social and solidarity economy; Catalan ecosystem; cooperative infrastructure; commons,,,,"Useful CATBIS ecosystem-level container for mapping Catalan cooperativism as enabling infrastructure for ecosocial transition: housing, energy, food, care, digital commons, finance, and social economy networks. Relevant less as a single organization and more as a field-level map object.",,
